country,source,data.economy.population_below_poverty_line.value,data.people.languages.date,data.people.languages.language,data.people.languages.note,data.people.languages.note_1,data.people.languages.note_2,data.people.languages.note_3,data.people.languages.overseas_departments,data.people.literacy.total_population.value,data.people.population.total
World,https://web.archive.org/web/20170721161925/https://www.cia.gov/library/publications/the-world-factbook/geos/xx.html,,2016,"[{""name"":""Mandarin Chinese"",""percent"":12.2},{""name"":""Spanish"",""percent"":5.8},{""name"":""English"",""percent"":4.6},{""name"":""Arabic"",""percent"":3.6},{""name"":""Hindi"",""percent"":3.6},{""name"":""Portuguese"",""percent"":2.8},{""name"":""Bengali"",""percent"":2.6},{""name"":""Russian"",""percent"":2.3},{""name"":""Japanese"",""percent"":1.7},{""name"":""Punjabi""},{""name"":""Western"",""percent"":1.2},{""name"":""Javanese"",""percent"":1.2}]",,"percents are for ""first language"" speakers only; the six UN languages - Arabic, Chinese (Mandarin), English, French, Russian, and Spanish (Castilian) - are the mother tongue or second language of about half of the world's population, and are the official languages in more than half the states in the world; some 300 languages have more than a million first-language speakers","all told, there are an estimated 7,100 languages spoken in the world; approximately 80% of these languages are spoken by less than 100,000 people; about 130 languages are spoken by less than 10 people; communities that are isolated from each other in mountainous regions often develop multiple languages; Papua New Guinea, for example, boasts about 840 separate languages","approximately 2,300 languages are spoken in Asia, 2,140, in Africa, 1,310 in the Pacific, 1,060 in the Americas, and 290 in Europe (2016)",,86.1,7323187457
Afghanistan,https://web.archive.org/web/20170729071725/https://www.cia.gov/library/publications/the-world-factbook/geos/af.html,35.8,,"[{""name"":""Afghan Persian or Dari"",""percent"":50,""note"":""official""},{""name"":""Pashto"",""percent"":35,""note"":""official""},{""name"":""Turkic languages"",""percent"":11,""note"":""primarily Uzbek and Turkmen""},{""name"":""minor languages"",""percent"":4,""note"":""primarily Balochi and Pashai""},{""name"":""much bilingualism""},{""name"":""but Dari functions as the lingua franca""}]","the Turkic languages Uzbek and Turkmen, as well as Balochi, Pashai, Nuristani, and Pamiri are the third official languages in areas where the majority speaks them",,,,,38.2,33332025
Akrotiri,https://web.archive.org/web/20170716105322/https://www.cia.gov/library/publications/the-world-factbook/geos/ax.html,,,"[{""name"":""English""},{""name"":""Greek""}]",,,,,,,15700
Albania,https://web.archive.org/web/20170729071609/https://www.cia.gov/library/publications/the-world-factbook/geos/al.html,14.3,2011,"[{""name"":""Albanian"",""percent"":98.8,""note"":""official - derived from Tosk dialect""},{""name"":""Greek"",""percent"":0.5},{""name"":""other"",""percent"":0.6,""note"":""including Macedonian, Romani, Vlach, Turkish, Italian, and Serbo-Croatian""},{""name"":""unspecified"",""percent"":0.1}]",,,,,,97.6,3038594
Algeria,https://web.archive.org/web/20170729071704/https://www.cia.gov/library/publications/the-world-factbook/geos/ag.html,23,,"[{""name"":""Arabic"",""note"":""official""},{""name"":""French"",""note"":""lingua franca""},{""name"":""Berber or Tamazight ; dialects include Kabyle Berber"",""note"":""official; Taqbaylit""},{""name"":""Shawiya Berber"",""note"":""Tacawit""},{""name"":""Mzab Berber""},{""name"":""Tuareg Berber"",""note"":""Tamahaq""}]",,,,,,80.2,40263711
American Samoa,https://web.archive.org/web/20170715114608/https://www.cia.gov/library/publications/the-world-factbook/geos/aq.html,,2010,"[{""name"":""Samoan"",""percent"":88.6,""note"":""closely related to Hawaiian and other Polynesian languages""},{""name"":""English"",""percent"":3.9},{""name"":""Tongan"",""percent"":2.7},{""name"":""other Pacific islander"",""percent"":3},{""name"":""other"",""percent"":1.8}]",most people are bilingual,,,,,,54194
Andorra,https://web.archive.org/web/20170729071610/https://www.cia.gov/library/publications/the-world-factbook/geos/an.html,,,"[{""name"":""Catalan"",""note"":""official""},{""name"":""French""},{""name"":""Castilian""},{""name"":""Portuguese""}]",,,,,,,85660
Angola,https://web.archive.org/web/20170729071428/https://www.cia.gov/library/publications/the-world-factbook/geos/ao.html,40.5,2014,"[{""name"":""Portuguese"",""percent"":71.2,""note"":""official""},{""name"":""Umbundu"",""percent"":23},{""name"":""Kikongo"",""percent"":8.2},{""name"":""Kimbundu"",""percent"":7.8},{""name"":""Chokwe"",""percent"":6.5},{""name"":""Nhaneca"",""percent"":3.4},{""name"":""Nganguela"",""percent"":3.1},{""name"":""Fiote"",""percent"":2.4},{""name"":""Kwanhama"",""percent"":2.3},{""name"":""Muhumbi"",""percent"":2.1},{""name"":""Luvale"",""percent"":1},{""name"":""other"",""percent"":3.6}]",most widely spoken languages; shares sum to more than 100% because some respondents gave more than one answer on the census,,,,,71.1,20172332
Anguilla,https://web.archive.org/web/20170715115118/https://www.cia.gov/library/publications/the-world-factbook/geos/av.html,23,,"[{""name"":""English"",""note"":""official""}]",,,,,,,16752
Antarctica,https://web.archive.org/web/20170627020401/https://www.cia.gov/library/publications/the-world-factbook/geos/ay.html,,,,,,,,,,
Antigua And Barbuda,https://web.archive.org/web/20170729071738/https://www.cia.gov/library/publications/the-world-factbook/geos/ac.html,,,"[{""name"":""English"",""note"":""official""},{""name"":""Antiguan creole""}]",,,,,,99,93581
Arctic Ocean,https://web.archive.org/web/20170711233836/https://www.cia.gov/library/publications/the-world-factbook/geos/xq.html,,,,,,,,,,
Argentina,https://web.archive.org/web/20170729071739/https://www.cia.gov/library/publications/the-world-factbook/geos/ar.html,32.2,,"[{""name"":""Spanish"",""note"":""official""},{""name"":""Italian""},{""name"":""English""},{""name"":""German""},{""name"":""French""},{""name"":""indigenous"",""note"":""Mapudungun, Quechua""}]",,,,,,98.1,43886748
Armenia,https://web.archive.org/web/20170729071611/https://www.cia.gov/library/publications/the-world-factbook/geos/am.html,32,2011,"[{""name"":""Armenian"",""percent"":97.9,""note"":""official""},{""name"":""Kurdish"",""percent"":1,""note"":""spoken by Yezidi minority""},{""name"":""other"",""percent"":1}]",,,,,,99.7,3051250
Aruba,https://web.archive.org/web/20170715121352/https://www.cia.gov/library/publications/the-world-factbook/geos/aa.html,,2010,"[{""name"":""Papiamento"",""percent"":69.4,""note"":""official; a creole language that is a mixture of Portuguese, Spanish, Dutch, English, and, to a lesser extent, French, as well as elements of African languages and the language of the Arawak""},{""name"":""Spanish"",""percent"":13.7},{""name"":""English"",""percent"":7.1,""note"":""widely spoken""},{""name"":""Dutch"",""percent"":6.1,""note"":""official""},{""name"":""Chinese"",""percent"":1.5},{""name"":""other"",""percent"":1.7},{""name"":""unspecified"",""percent"":0.4}]",,,,,,97.5,113648
Ashmore And Cartier Islands,https://web.archive.org/web/20170704133455/https://www.cia.gov/library/publications/the-world-factbook/geos/at.html,,,,,,,,,,
Atlantic Ocean,https://web.archive.org/web/20170711233824/https://www.cia.gov/library/publications/the-world-factbook/geos/zh.html,,,,,,,,,,
Australia,https://web.archive.org/web/20170729071531/https://www.cia.gov/library/publications/the-world-factbook/geos/as.html,,2011,"[{""name"":""English"",""percent"":76.8},{""name"":""Mandarin"",""percent"":1.6},{""name"":""Italian"",""percent"":1.4},{""name"":""Arabic"",""percent"":1.3},{""name"":""Greek"",""percent"":1.2},{""name"":""Cantonese"",""percent"":1.2},{""name"":""Vietnamese"",""percent"":1.1},{""name"":""other"",""percent"":10.4},{""name"":""unspecified"",""percent"":5}]",,,,,,,22992654
Austria,https://web.archive.org/web/20170729071612/https://www.cia.gov/library/publications/the-world-factbook/geos/au.html,4,2001,"[{""name"":""German"",""percent"":88.6,""note"":""official nationwide""},{""name"":""Turkish"",""percent"":2.3},{""name"":""Serbian"",""percent"":2.2},{""name"":""Croatian"",""percent"":1.6,""note"":""official in Burgenland""},{""name"":""other"",""percent"":5.3,""note"":""includes Slovene, official in South Carinthia, and Hungarian, official in Burgenland""}]",,,,,,,8711770
Azerbaijan,https://web.archive.org/web/20170729071614/https://www.cia.gov/library/publications/the-world-factbook/geos/aj.html,4.9,2009,"[{""name"":""Azerbaijani"",""percent"":92.5,""note"":""Azeri; official""},{""name"":""Russian"",""percent"":1.4},{""name"":""Armenian"",""percent"":1.4},{""name"":""other"",""percent"":4.7}]",,,,,,99.8,9872765
"Bahamas, The",https://web.archive.org/web/20170729071740/https://www.cia.gov/library/publications/the-world-factbook/geos/bf.html,9.3,,"[{""name"":""English"",""note"":""official""},{""name"":""Creole"",""note"":""among Haitian immigrants""}]",,,,,,,327316
Bahrain,https://web.archive.org/web/20170729071705/https://www.cia.gov/library/publications/the-world-factbook/geos/ba.html,,,"[{""name"":""Arabic"",""note"":""official""},{""name"":""English""},{""name"":""Farsi""},{""name"":""Urdu""}]",,,,,,95.7,1378904
Bangladesh,https://web.archive.org/web/20170729071726/https://www.cia.gov/library/publications/the-world-factbook/geos/bg.html,31.5,2011,"[{""name"":""Bangla"",""percent"":98.8,""note"":""official, also known as Bengali""},{""name"":""other"",""percent"":1.2}]",,,,,,61.5,156186882
Barbados,https://web.archive.org/web/20170729071741/https://www.cia.gov/library/publications/the-world-factbook/geos/bb.html,,,"[{""name"":""English"",""note"":""official""},{""name"":""Bajan"",""note"":""English-based creole language, widely spoken in informal settings""}]",,,,,,,291495
Belarus,https://web.archive.org/web/20170729071615/https://www.cia.gov/library/publications/the-world-factbook/geos/bo.html,5.7,2009,"[{""name"":""Russian"",""percent"":70.2,""note"":""official""},{""name"":""Belarusian"",""percent"":23.4,""note"":""official""},{""name"":""other"",""percent"":3.1,""note"":""includes small Polish- and Ukrainian-speaking minorities""},{""name"":""unspecified"",""percent"":3.3}]",,,,,,99.7,9570376
Belgium,https://web.archive.org/web/20170729071616/https://www.cia.gov/library/publications/the-world-factbook/geos/be.html,15.1,,"[{""name"":""Dutch"",""percent"":60,""note"":""official""},{""name"":""French"",""percent"":40,""note"":""official""},{""name"":""German  less than"",""percent"":1,""note"":""official""}]",,,,,,,11409077
Belize,https://web.archive.org/web/20170729071742/https://www.cia.gov/library/publications/the-world-factbook/geos/bh.html,41,2010,"[{""name"":""English"",""percent"":62.9,""note"":""official""},{""name"":""Spanish"",""percent"":56.6},{""name"":""Creole"",""percent"":44.6},{""name"":""Maya"",""percent"":10.5},{""name"":""German"",""percent"":3.2},{""name"":""Garifuna"",""percent"":2.9},{""name"":""other"",""percent"":1.8},{""name"":""unknown"",""percent"":0.3},{""name"":""none"",""percent"":0.2,""note"":""cannot speak""}]",shares sum to more than 100% because some respondents gave more than one answer on the census,,,,,,353858
Benin,https://web.archive.org/web/20170715142856/https://www.cia.gov/library/publications/the-world-factbook/geos/bn.html,36.2,,"[{""name"":""French"",""note"":""official""},{""name"":""Fon and Yoruba"",""note"":""most common vernaculars in south""},{""name"":""tribal languages"",""note"":""at least six major ones in north""}]",,,,,,38.4,10741458
Bermuda,https://web.archive.org/web/20170715143058/https://www.cia.gov/library/publications/the-world-factbook/geos/bd.html,11,,"[{""name"":""English"",""note"":""official""},{""name"":""Portuguese""}]",,,,,,,70537
Bhutan,https://web.archive.org/web/20170729071727/https://www.cia.gov/library/publications/the-world-factbook/geos/bt.html,13.3,2005,"[{""name"":""Sharchhopka"",""percent"":28},{""name"":""Dzongkha"",""percent"":24,""note"":""official""},{""name"":""Lhotshamkha"",""percent"":22},{""name"":""other"",""percent"":26,""note"":""includes foreign languages""}]",,,,,,64.9,750125
Bolivia,https://web.archive.org/web/20170729071743/https://www.cia.gov/library/publications/the-world-factbook/geos/bl.html,38.6,2001,"[{""name"":""Spanish"",""percent"":60.7,""note"":""official""},{""name"":""Quechua"",""percent"":21.2,""note"":""official""},{""name"":""Aymara"",""percent"":14.6,""note"":""official""},{""name"":""foreign languages"",""percent"":2.4},{""name"":""Guarani"",""percent"":0.6,""note"":""official""},{""name"":""other native languages"",""percent"":0.4},{""name"":""none"",""percent"":0.1}]","Bolivia's 2009 constitution designates Spanish and all indigenous languages as official; 36 indigenous languages are specified, including some that are extinct",,,,,95.7,10969649
Bosnia And Herzegovina,https://web.archive.org/web/20170729071617/https://www.cia.gov/library/publications/the-world-factbook/geos/bk.html,17.2,2013,"[{""name"":""Bosnian"",""percent"":52.9,""note"":""official""},{""name"":""Serbian"",""percent"":30.8,""note"":""official""},{""name"":""Croatian"",""percent"":14.6,""note"":""official""},{""name"":""other"",""percent"":1.6},{""name"":""no answer"",""percent"":0.2}]",,,,,,98.5,3861912
Botswana,https://web.archive.org/web/20170715145023/https://www.cia.gov/library/publications/the-world-factbook/geos/bc.html,30.3,2011,"[{""name"":""Setswana"",""percent"":77.3},{""name"":""Sekalanga"",""percent"":7.4},{""name"":""Shekgalagadi"",""percent"":3.4},{""name"":""English"",""percent"":2.8,""note"":""official""},{""name"":""Zezuru/Shona"",""percent"":2},{""name"":""Sesarwa"",""percent"":1.7},{""name"":""Sembukushu"",""percent"":1.6},{""name"":""Ndebele"",""percent"":1},{""name"":""other"",""percent"":2.8}]",,,,,,88.5,2209208
Bouvet Island,https://web.archive.org/web/20170716211632/https://www.cia.gov/library/publications/the-world-factbook/geos/bv.html,,,,,,,,,,
Brazil,https://web.archive.org/web/20170729071744/https://www.cia.gov/library/publications/the-world-factbook/geos/br.html,3.7,,"[{""name"":""Portuguese"",""note"":""official and most widely spoken language""}]","less common languages include Spanish (border areas and schools), German, Italian, Japanese, English, and a large number of minor Amerindian languages",,,,,92.6,205823665
British Indian Ocean Territory,https://web.archive.org/web/20170716104642/https://www.cia.gov/library/publications/the-world-factbook/geos/io.html,,,,,,,,,,
British Virgin Islands,https://web.archive.org/web/20170715145502/https://www.cia.gov/library/publications/the-world-factbook/geos/vi.html,,,"[{""name"":""English"",""note"":""official""}]",,,,,,,34232
Brunei,https://web.archive.org/web/20170729071531/https://www.cia.gov/library/publications/the-world-factbook/geos/bx.html,,,"[{""name"":""Malay"",""note"":""official""},{""name"":""English""},{""name"":""Chinese dialects""}]",,,,,,96,436620
Bulgaria,https://web.archive.org/web/20170729071618/https://www.cia.gov/library/publications/the-world-factbook/geos/bu.html,22,2011,"[{""name"":""Bulgarian"",""percent"":76.8,""note"":""official""},{""name"":""Turkish"",""percent"":8.2},{""name"":""Romani"",""percent"":3.8},{""name"":""other"",""percent"":0.7},{""name"":""unspecified"",""percent"":10.5}]",,,,,,98.4,7144653
Burkina Faso,https://web.archive.org/web/20170715150220/https://www.cia.gov/library/publications/the-world-factbook/geos/uv.html,40.1,,"[{""name"":""French"",""note"":""official""},{""name"":""native African languages belonging to Sudanic family spoken by of the population"",""percent"":90}]",,,,,,36,19512533
Burma,https://web.archive.org/web/20170729071427/https://www.cia.gov/library/publications/the-world-factbook/geos/bm.html,25.6,,"[{""name"":""Burmese"",""note"":""official""}]",minority ethnic groups have their own languages,,,,,93.1,56890418
Burundi,https://web.archive.org/web/20170715150508/https://www.cia.gov/library/publications/the-world-factbook/geos/by.html,64.6,2008,"[{""name"":""Kirundi"",""percent"":29.7,""note"":""official""},{""name"":""Kirundi and other language"",""percent"":9.1},{""name"":""French  and French and other language"",""percent"":0.3,""note"":""official""},{""name"":""Swahili and Swahili and other language"",""percent"":0.2,""note"":""along Lake Tanganyika and in the Bujumbura area""},{""name"":""English  and English and other language"",""percent"":0.06,""note"":""official""},{""name"":""more than languages"",""percent"":3.7},{""name"":""unspecified"",""percent"":56.9}]",data represent language read and written by people 10 years of age or older; spoken Kirundi is widespread,,,,,85.6,11099298
Cabo Verde,https://web.archive.org/web/20170715150635/https://www.cia.gov/library/publications/the-world-factbook/geos/cv.html,30,,"[{""name"":""Portuguese"",""note"":""official""},{""name"":""Crioulo"",""note"":""a blend of Portuguese and West African words""}]",,,,,,87.6,553432
Cambodia,https://web.archive.org/web/20170729071532/https://www.cia.gov/library/publications/the-world-factbook/geos/cb.html,17.7,2008,"[{""name"":""Khmer"",""percent"":96.3,""note"":""official""},{""name"":""other"",""percent"":3.7}]",,,,,,77.2,15957223
Cameroon,https://web.archive.org/web/20170715151917/https://www.cia.gov/library/publications/the-world-factbook/geos/cm.html,30,,"[{""name"":""major African language groups"",""percent"":24},{""name"":""English"",""note"":""official""},{""name"":""French"",""note"":""official""}]",,,,,,75,24360803
Canada,https://web.archive.org/web/20170729071746/https://www.cia.gov/library/publications/the-world-factbook/geos/ca.html,9.4,2011,"[{""name"":""English"",""percent"":58.7,""note"":""official""},{""name"":""French"",""percent"":22,""note"":""official""},{""name"":""Punjabi"",""percent"":1.4},{""name"":""Italian"",""percent"":1.3},{""name"":""Spanish"",""percent"":1.3},{""name"":""German"",""percent"":1.3},{""name"":""Cantonese"",""percent"":1.2},{""name"":""Tagalog"",""percent"":1.2},{""name"":""Arabic"",""percent"":1.1},{""name"":""other"",""percent"":10.5}]",,,,,,,35362905
Cayman Islands,https://web.archive.org/web/20170715153101/https://www.cia.gov/library/publications/the-world-factbook/geos/cj.html,,2010,"[{""name"":""English"",""percent"":90.9,""note"":""official""},{""name"":""Spanish"",""percent"":4},{""name"":""Filipino"",""percent"":3.3},{""name"":""other"",""percent"":1.7},{""name"":""unspecified"",""percent"":0.1}]",,,,,,98.9,57268
Central African Republic,https://web.archive.org/web/20170715153242/https://www.cia.gov/library/publications/the-world-factbook/geos/ct.html,,,"[{""name"":""French"",""note"":""official""},{""name"":""Sangho"",""note"":""lingua franca and national language""},{""name"":""tribal languages""}]",,,,,,36.8,5507257
Chad,https://web.archive.org/web/20170715153329/https://www.cia.gov/library/publications/the-world-factbook/geos/cd.html,46.7,,"[{""name"":""French"",""note"":""official""},{""name"":""Arabic"",""note"":""official""},{""name"":""Sara"",""note"":""in south""},{""name"":""more than different languages and dialects"",""percent"":120}]",,,,,,40.2,11852462
Chile,https://web.archive.org/web/20170729071747/https://www.cia.gov/library/publications/the-world-factbook/geos/ci.html,14.4,2012,"[{""name"":""Spanish"",""percent"":99.5,""note"":""official""},{""name"":""English"",""percent"":10.2},{""name"":""indigenous"",""percent"":1,""note"":""includes Mapudungun, Aymara, Quechua, Rapa Nui""},{""name"":""other"",""percent"":2.3},{""name"":""unspecified"",""percent"":0.2}]",shares sum to more than 100% because some respondents gave more than one answer on the census,,,,,97.5,17650114
China,https://web.archive.org/web/20170729071533/https://www.cia.gov/library/publications/the-world-factbook/geos/ch.html,3.3,,"[{""name"":""Standard Chinese or Mandarin"",""note"":""official; Putonghua, based on the Beijing dialect""},{""name"":""Yue"",""note"":""Cantonese""},{""name"":""Wu"",""note"":""Shanghainese""},{""name"":""Minbei"",""note"":""Fuzhou""},{""name"":""Minnan"",""note"":""Hokkien-Taiwanese""},{""name"":""Xiang""},{""name"":""Gan""},{""name"":""Hakka dialects""},{""name"":""minority languages"",""note"":""see Ethnic groups entry""}]","Zhuang is official in Guangxi Zhuang, Yue is official in Guangdong, Mongolian is official in Nei Mongol, Uighur is official in Xinjiang Uygur, Kyrgyz is official in Xinjiang Uygur, and Tibetan is official in Xizang (Tibet)",,,,,96.4,1373541278
Christmas Island,https://web.archive.org/web/20170715155952/https://www.cia.gov/library/publications/the-world-factbook/geos/kt.html,,,"[{""name"":""English"",""note"":""official""},{""name"":""Chinese""},{""name"":""Malay""}]",,,,,,,2205
Clipperton Island,https://web.archive.org/web/20170716211712/https://www.cia.gov/library/publications/the-world-factbook/geos/ip.html,,,,,,,,,,
Cocos (Keeling) Islands,https://web.archive.org/web/20170715160043/https://www.cia.gov/library/publications/the-world-factbook/geos/ck.html,,,"[{""name"":""Malay"",""note"":""Cocos dialect""},{""name"":""English""}]",,,,,,,596
Colombia,https://web.archive.org/web/20170729071748/https://www.cia.gov/library/publications/the-world-factbook/geos/co.html,27.8,,"[{""name"":""Spanish"",""note"":""official""}]",,,,,,94.7,47220856
Comoros,https://web.archive.org/web/20170729071438/https://www.cia.gov/library/publications/the-world-factbook/geos/cn.html,44.8,,"[{""name"":""Arabic"",""note"":""official""},{""name"":""French"",""note"":""official""},{""name"":""Shikomoro"",""note"":""official; a blend of Swahili and Arabic; Comorian""}]",,,,,,77.8,794678
